# Widelands 简体中文术语表——由 build_glossary.py 生成，请勿手工编辑。
# 要改译名请改 i18n-zh/corrections.tsv 后重新生成。
# check_po.py --glossary 会据此校验全部 32 个域的一致性。
#
# 英文	中文	msgctxt	出处	备注
baking bread	烘烤面包	empire_building	tribes	
baking honey bread	烘烤蜂蜜面包		tribes	
baking pitta bread	烘烤皮塔饼	barbarians_building	tribes	
Baldr	巴尔德	shipname	tribes	
Balsa	轻木	ware	tribes	
Balsa Tree	轻木树		tribes	
Balsa Tree (Mature)	轻木树(成材的)		tribes	
Balsa Tree (Old)	轻木树(老的)		tribes	
Balsa Tree (Pole)	轻木树(树干)		tribes	
Balsa Tree (Sapling)	轻木树(树苗)		tribes	
Baltic Sea	波罗的海	shipname	tribes	
Bararati	巴拉拉蒂号	shipname	tribes	
Barbados	巴巴多斯岛	shipname	tribes	
Barbarians	蛮族		tribes	
Barbuda	巴尔布达	shipname	tribes	
Barley	大麦	ware	tribes	
Barley Field (harvested)	麦田(收获的)	immovable	tribes	
Barley Field (medium)	麦田(半熟的)	immovable	tribes	
Barley Field (ripe)	麦田(成熟的)	immovable	tribes	
Barley Field (small)	麦田(小的)	immovable	tribes	
Barley Field (tiny)	麦田(微小的)	immovable	tribes	
Barracks	步兵营	atlanteans_building	tribes	
Barracks	步兵营	barbarians_building	tribes	
Barracks	步兵营	empire_building	tribes	
Barracks	步兵营	frisians_building	tribes	
Barren Steppe	荒原		world	
Barrier	壁垒	barbarians_building	corrections	"关卡"在游戏语境里易被读作"第几关"
Barrier	壁垒	empire_building	corrections	"关卡"在游戏语境里易被读作"第几关"
Basket	篮子	ware	tribes	
Battle Arena	搏击场	barbarians_building	tribes	
Battle Ax	战斧	ware	tribes	
Be careful	注意		tribes	
Beach	海滩		world	
Bear	熊	shipname	tribes	
Beech	山毛榉		world	
Beech (Mature)	山毛榉(成材的)		world	
Beech (Old)	山毛榉(老树)		world	
Beech (Pole)	山毛榉(树干)		world	
Beech (Sapling)	山毛榉(树苗)		world	
Beekeeper	养蜂人	frisians_worker	tribes	
Beekeeper’s House	养蜂房屋	frisians_building	tribes	
Beer	啤酒	ware	tribes	
Bellona	贝洛娜	shipname	tribes	
Beowulf	贝奥武甫	shipname	tribes	
Berry Farm	浆果园	frisians_building	tribes	
Berry Farmer	浆果种植农夫	frisians_worker	tribes	
Beryl	绿柱石	shipname	tribes	
Big Inn	大客栈	barbarians_building	tribes	
Birch	白桦树		world	
Birch (Mature)	白桦树(成材的)		world	
Birch (Old)	白桦树(老树)		world	
Birch (Pole)	白桦树(树干)		world	
Birch (Sapling)	白桦树(树苗)		world	
Bison	野牛号	shipname	tribes	
Biá	比亚号	shipname	tribes	
Black Currant (medium)	黑加仑(半熟的)		tribes	
Black Currant (ripe)	黑加仑(成熟的)		tribes	
Black Currant (small)	黑加仑(小的)		tribes	
Black Currant (tiny)	黑加仑(微小的)		tribes	
Blackroot	黑根	ware	tribes	
Blackroot Farm	黑根农场	atlanteans_building	tribes	
Blackroot Farmer	黑根种植农夫	atlanteans_worker	tribes	
Blackroot Field (harvested)	黑根田地(收获的)	immovable	tribes	
Blackroot Field (medium)	黑根田地(半熟的)	immovable	tribes	
Blackroot Field (ripe)	黑根田地(成熟的)	immovable	tribes	
Blackroot Field (small)	黑根田地(小的)	immovable	tribes	
Blackroot Field (tiny)	黑根田地(微小的)	immovable	tribes	
Blackroot Flour	黑根粉	ware	tribes	
Blacksmith	铁匠	barbarians_worker	tribes	
Blacksmith	铁匠	frisians_worker	tribes	
Blacksmithy	铁匠铺	frisians_building	tribes	
Blackwood	黑檀木	ware	tribes	
Blanquilla	布兰基亚岛	shipname	tribes	
Blockhouse	木质碉堡	empire_building	tribes	
Blueberry Bush (medium)	蓝莓树丛(半熟的)		tribes	
Blueberry Bush (ripe)	蓝莓树丛(成熟的)		tribes	
Blueberry Bush (small)	蓝莓树丛(小的)		tribes	
Blueberry Bush (tiny)	蓝莓树丛(微小的)		tribes	
Boldreth	博尔德雷思	shipname	tribes	
Borassus Palm	糖棕榈树		world	
Borassus Palm (Mature)	糖棕榈树(成材的)		world	
Borassus Palm (Old)	糖棕榈树(老树)		world	
Borassus Palm (Pole)	糖棕榈树(树干)		world	
Borassus Palm (Sapling)	糖棕榈树(树苗)		world	
Bread	面包	atlanteans_ware	tribes	
Bread	面包	empire_ware	tribes	
Bread	面包	frisians_ware	tribes	
Bread	面包	ware	tribes	
Bread Paddle	面包桨	ware	tribes	
breeding fish	喂鱼		tribes	
breeding horses	养马	atlanteans_building	tribes	
breeding sheep	种羊		tribes	
breeding tapir	饲养貘貘	amazons_building	tribes	
Brewer	酿酒师	barbarians_worker	tribes	
Brewer	酿酒师	empire_worker	tribes	
Brewer	酿酒师	frisians_worker	tribes	
Brewery	啤酒坊	barbarians_building	tribes	
Brewery	啤酒坊	empire_building	tribes	
Brewery	啤酒坊	frisians_building	tribes	
brewing beer	酿造啤酒		tribes	
brewing chocolate	酿制巧克力		tribes	
brewing mead	酿造蜂蜜酒		tribes	
brewing strong beer	酿造高浓度啤酒		tribes	
Brick	砖	ware	tribes	
Brick Kiln	砖窑	frisians_building	tribes	
Brickmaker	烧砖工人	frisians_worker	tribes	
Broad Ax	板斧	ware	tribes	
Broadsword	阔剑	ware	tribes	
Bronze Ax	青铜斧	ware	tribes	
Brown bear	棕熊		world	
Brutus	布鲁特斯	shipname	tribes	
Buckets	水桶	ware	tribes	
Builder	建筑工人	amazons_worker	tribes	
Builder	建筑工人	atlanteans_worker	tribes	
Builder	建筑工人	barbarians_worker	tribes	
Builder	建筑工人	empire_worker	tribes	
Builder	建筑工人	frisians_worker	tribes	
Building	建筑		corrections	
building a dike	修筑堤坝		tribes	
Buildings	建筑		tribes	
Bunny	兔子		world	
burning bricks	烧制砖块		tribes	
Burning Charcoal Stack	燃烧的木炭堆	immovable	tribes	
Bush	灌木		world	
Cactus	仙人掌		world	
Caicos	凯科斯群岛	shipname	tribes	
Caligula	卡利古拉	shipname	tribes	
Camaiú	卡迈乌号	shipname	tribes	
Camanaú	卡马瑙号	shipname	tribes	
Camilla	卡米拉	shipname	tribes	
Canumã	卡努曼号	shipname	tribes	
Capucapu	卡普卡普号	shipname	tribes	
Carabinani	卡拉比纳尼号	shipname	tribes	
Carnivores	食肉动物		world	
Carpenter	木匠	empire_worker	tribes	
Carrara	卡拉拉	shipname	tribes	
Carrier	搬运工	amazons_worker	tribes	
Carrier	搬运工	atlanteans_worker	tribes	
Carrier	搬运工	barbarians_worker	tribes	
Carrier	搬运工	empire_worker	tribes	
Carrier	搬运工	frisians_worker	tribes	
Cassava Farmer	木薯种植农夫	amazons_worker	tribes	
Cassava Field (harvested)	木薯田（已收割）	immovable	tribes	
Cassava Field (medium)	木薯田（中等）	immovable	tribes	
Cassava Field (ripe)	木薯田（成熟）	immovable	tribes	
Cassava Field (small)	木薯田（小）	immovable	tribes	
Cassava Field (tiny)	木薯田（幼苗）	immovable	tribes	
Cassava Plantation	木薯种植园	amazons_building	tribes	
Cassava Root	木薯块根	ware	tribes	
Cassava Root Cooker	木薯块根厨房	amazons_building	tribes	
Cassiterite	锡石	shipname	tribes	
Castle	城堡	atlanteans_building	tribes	
Castle	城堡	empire_building	tribes	
Cato	加图号	shipname	tribes	
Cattle Breeder	放牛娃	barbarians_worker	tribes	
Cattle Farm	养牛场	barbarians_building	tribes	
Cat’s Eye	猫眼	shipname	tribes	
Cauaburi	考阿布里号	shipname	tribes	
Caurés	考雷斯号	shipname	tribes	
Cervus	牡鹿号	shipname	tribes	
Chain Armor	链式盔甲	ware	tribes	
Chamois	岩羚羊		world	
Charcoal Burner	烧炭弟	amazons_worker	tribes	
Charcoal Burner	烧炭弟	atlanteans_worker	tribes	
Charcoal Burner	烧炭弟	barbarians_worker	tribes	
Charcoal Burner	烧炭弟	empire_worker	tribes	
Charcoal Burner	烧炭弟	frisians_worker	tribes	
Charcoal Burner’s House	煅炭厂	frisians_building	tribes	
Charcoal Kiln	煅炭窑	amazons_building	tribes	
Charcoal Kiln	煅炭窑	atlanteans_building	tribes	
Charcoal Kiln	煅炭窑	barbarians_building	tribes	
Charcoal Kiln	煅炭窑	empire_building	tribes	
Charcoal Kiln	煅炭窑	frisians_building	tribes	
Chat’Karuth	查特·卡鲁斯	shipname	tribes	
Chief Miner	矿长	barbarians_worker	tribes	
Chisel	凿刀	ware	tribes	
Chocolate	巧克力	ware	tribes	
Chocolate Brewery	巧克力酿酒厂	amazons_building	tribes	
Cicero	西塞罗	shipname	tribes	
Ciriquiri	西里基里号	shipname	tribes	
Cirrus Tree	草海卷须树		world	
Cirrus Tree (Mature)	草海卷须树(成材的)		world	
Cirrus Tree (Old)	草海卷须树(老树)		world	
Cirrus Tree (Pole)	草海卷须树(树干)		world	
Cirrus Tree (Sapling)	草海卷须树(树苗)		world	
Citadel	堡垒	barbarians_building	tribes	
Citrine	黄水晶	shipname	tribes	
Claudius	克劳迪厄斯	shipname	tribes	
Clay	黏土	ware	tribes	
Clay Digger	挖泥工	frisians_worker	tribes	
Clay Pit	黏土井	frisians_building	tribes	
Click	单击	hotkey	corrections	鼠标操作名，不与"点击"混用
Cloth	布料	ware	tribes	
Coal	煤		world	
Coal	煤	ware	tribes	
Coal Mine	煤矿	atlanteans_building	tribes	
Coal Mine	煤矿	barbarians_building	tribes	
Coal Mine	煤矿	empire_building	tribes	
Coal Mine	煤矿	frisians_building	tribes	
Coari	科阿里号	shipname	tribes	
Cocoa Beans	可可豆	ware	tribes	
Cocoa Farm	可可种植场	amazons_building	tribes	
Cocoa Farmer	可可种植农夫	amazons_worker	tribes	
Cocoa Tree (mature)	可可树(成材的)		tribes	
Cocoa Tree (old)	可可树(老的)		tribes	
Cocoa Tree (pole)	可可树(树干)		tribes	
Cocoa Tree (sapling)	可可树(树苗)		tribes	
Coconut Palm	椰子树		world	
Coconut Palm (Mature)	椰子树(成材的)		world	
Coconut Palm (Old)	椰子树(老树)		world	
Coconut Palm (Pole)	椰子树(树干)		world	
Coconut Palm (Sapling)	椰子树(树苗)		world	
Colionder	克林德尔	shipname	tribes	
collecting coal	采煤		tribes	
Collectors	收集者		win_conditions	
Colosseum	角斗场	empire_building	tribes	
Coniferous Trees	针叶树		world	
constructing a ship	建造一艘船		tribes	
Construction Site	建筑工地	building	tribes	
Controls	控制		tribes	
Cook	炊事员	amazons_worker	tribes	
Copatana	科帕塔纳号	shipname	tribes	
Corn	玉米	ware	tribes	
Cornfield (harvested)	玉米地(收获的)	immovable	tribes	
Cornfield (medium)	玉米地(半熟的)	immovable	tribes	
Cornfield (ripe)	玉米地(成熟的)	immovable	tribes	
Cornfield (small)	玉米地(小的)	immovable	tribes	
Cornfield (tiny)	玉米地(微小的)	immovable	tribes	
Cornmeal	玉米面粉	ware	tribes	
Coti	科蒂号	shipname	tribes	
Crystal Mine	晶体矿	atlanteans_building	tribes	
Cubate	库巴特号	shipname	tribes	
Cuiari	奎阿里号	shipname	tribes	
Cuieiras	奎埃拉斯号	shipname	tribes	
Cuini	奎尼号	shipname	tribes	
Cuniuá	库尼瓦号	shipname	tribes	
Curicuriari	库里库里阿里号	shipname	tribes	
Curiuaú	库里瓦乌号	shipname	tribes	
Curuduri	库鲁杜里号	shipname	tribes	
Curuquetê	库鲁凯特号	shipname	tribes	
Curuçá	库鲁萨号	shipname	tribes	
cutting granite	采集花岗石		tribes	
cutting lianas	剪切藤蔓植物		tribes	
Cæsar	恺撒号	shipname	tribes	
Daraá	达拉阿号	shipname	tribes	
Dark Mushroom Tree	黑远志蘑菇树		world	
Dark Mushroom Tree (Mature)	黑远志蘑菇树(成材的)		world	
Dark Mushroom Tree (Old)	黑远志蘑菇树(老树)		world	
Dark Mushroom Tree (Pole)	黑远志蘑菇树(树干)		world	
Dark Mushroom Tree (Sapling)	黑远志蘑菇树(树苗)		world	
Date Palm	椰枣树		world	
Date Palm (Mature)	椰枣树(成材的)		world	
Date Palm (Old)	椰枣树(老树)		world	
Date Palm (Pole)	椰枣树(树干)		world	
Date Palm (Sapling)	椰枣树(树苗)		world	
Dead Tree	枯树		tribes,world	
Dead Trees	枯树		world	
Debris	残骸		world	
Deciduous Trees	落叶乔木		world	
Deep Coal Mine	井下煤矿	barbarians_building	tribes	
Deep Coal Mine	井下煤矿	empire_building	tribes	
Deep Coal Mine	井下煤矿	frisians_building	tribes	
Deep Gold Mine	井下金矿	barbarians_building	tribes	
Deep Gold Mine	井下金矿	empire_building	tribes	
Deep Gold Mine	井下金矿	frisians_building	tribes	
Deep Iron Mine	井下铁矿	barbarians_building	tribes	
Deep Iron Mine	井下铁矿	empire_building	tribes	
Deep Iron Mine	井下铁矿	frisians_building	tribes	
Deep Marble Mine	井下大理石矿	empire_building	tribes	
Deep Rock Mine	井下岩石矿	frisians_building	tribes	
Deeper Coal Mine	深井煤矿	barbarians_building	tribes	
Deeper Gold Mine	深井金矿	barbarians_building	tribes	
Deeper Iron Mine	深井铁矿	barbarians_building	tribes	
Deer	鹿		world	
Dellingr	得林	shipname	tribes	
Delphinus	海豚号	shipname	tribes	
Demini	德米尼号	shipname	tribes	
Desert	沙漠		world	
Desert 1	沙漠 1		world	
Desert 2	沙漠 2		world	
Desert 3	沙漠 3		world	
Desert 4	沙漠 4		world	
Desert Hackberry (medium)	沙漠朴树(半熟的)		tribes	
Desert Hackberry (ripe)	沙漠朴树(成熟的)		tribes	
Desert Hackberry (small)	沙漠朴树(小的)		tribes	
Desert Hackberry (tiny)	沙漠朴树(微小的)		tribes	
Destroyed building	毁坏的建筑物	immovable	tribes	
Desync	不同步		corrections	网络对战中双方游戏状态不一致
Diamond	钻石	ware	tribes	
Diana	戴安娜	shipname	tribes	
Dike	堤坝	immovable	tribes	
Diker	筑堤工	frisians_worker	tribes	
Diker’s House	筑堤工之屋	frisians_building	tribes	
diking	筑堤		tribes	
Diplomacy	外交		corrections	
Directory	目录		corrections	统一"目录"，不与"文件夹"混用
Discovery	发现		tribes	
Dismantle Site	拆除工地	building	tribes	
Dominica	多米尼加	shipname	tribes	
Domitianus	多米蒂亚努斯	shipname	tribes	
Donkey	毛驴	empire_worker	tribes	
Donkey Breeder	毛驴饲养员	empire_worker	tribes	
Donkey Farm	养驴场	empire_building	tribes	
Double Trident	双三叉戟	ware	tribes	
Double-edged Sword	双刃剑	ware	tribes	
Dressmaker	裁缝	amazons_worker	tribes	
Dressmakery	缝纫厂	amazons_building	tribes	
Drinking Hall	酒馆	frisians_building	tribes	
Dry Pond	干旱池塘	immovable	tribes	
Dry Soil	旱作土壤		world	
Duck	鸭子		world	
Dungeon	地牢	atlanteans_building	tribes	
Eagle	雄鹰号	shipname	tribes	
Economy	经济		corrections	
Efficiency	效率		tribes	
Eiderstedt	艾德斯特德	shipname	tribes	
Eiru	埃鲁号	shipname	tribes	
Eleuthera	伊柳塞拉	shipname	tribes	
Emerald	绿宝石	shipname	tribes	
Empire	帝国		tribes	
Endimari	恩迪马里号	shipname	tribes	
Endless Game	无休止的游戏		win_conditions	
enhancing the fertility of land	土地育肥		tribes	
Envira	恩维拉号	shipname	tribes	
Etna	埃特纳号	shipname	tribes	
Farm	农场	atlanteans_building	tribes	
Farm	农场	barbarians_building	tribes	
Farm	农场	empire_building	tribes	
Farm	农场	frisians_building	tribes	
Farmer	农夫	atlanteans_worker	tribes	
Farmer	农夫	barbarians_worker	tribes	
Farmer	农夫	empire_worker	tribes	
Farmer	农夫	frisians_worker	tribes	
Faustulus	浮士德	shipname	tribes	
Felled Tree	砍倒的树		world	
Felling Ax	伐木斧	ware	tribes	
felling trees	砍伐树木		tribes	
Ferrum	玄铁号	shipname	tribes	
Ferry	艄公	amazons_worker	tribes	
Ferry	艄公	atlanteans_worker	tribes	
Ferry	艄公	barbarians_worker	tribes	
Ferry	艄公	empire_worker	tribes	
Ferry	艄公	frisians_worker	tribes	
Ferry Yard	摆渡码头	amazons_building	tribes	
Ferry Yard	摆渡码头	atlanteans_building	tribes	
Ferry Yard	摆渡码头	barbarians_building	tribes	
Ferry Yard	摆渡码头	empire_building	tribes	
Ferry Yard	摆渡码头	frisians_building	tribes	
Fire Tongs	火钳	ware	tribes	
Firestones	火石	ware	tribes	
Fish	鱼		world	
Fish	鱼	ware	tribes	
Fish Breeder	鱼类饲养员	atlanteans_worker	tribes	
Fish Breeder’s House	鱼类饲养员之屋	atlanteans_building	tribes	
Fisher	渔夫	atlanteans_worker	tribes	
Fisher	渔夫	barbarians_worker	tribes	
Fisher	渔夫	empire_worker	tribes	
Fisher	渔夫	frisians_worker	tribes	
Fisher’s House	渔夫之屋	atlanteans_building	tribes	
Fisher’s House	渔夫之屋	empire_building	tribes	
Fisher’s House	渔夫之屋	frisians_building	tribes	
Fisher’s Hut	捕鱼小屋	barbarians_building	tribes	
fishing	捕鱼		tribes	
Fishing Net	渔网	ware	tribes	
Fishing Rod	鱼竿	ware	tribes	
Flour	面粉	ware	tribes	
Food Preserver	食品仓库	amazons_building	tribes	
Forested Mountain 1	山林 1		world	
Forested Mountain 2	山林 2		world	
Forester	护林员	atlanteans_worker	tribes	
Forester	护林员	empire_worker	tribes	
Forester	护林员	frisians_worker	tribes	
Forester’s House	护林员之屋	atlanteans_building	tribes	
Forester’s House	护林员之屋	empire_building	tribes	
Forester’s House	护林员之屋	frisians_building	tribes	
forging a battle ax	锻造战斧		tribes	
forging a broad ax	锻造板斧		tribes	
forging a broadsword	锻造阔剑		tribes	
forging a bronze ax	锻造青铜斧		tribes	
forging a double trident	锻造双三叉戟		tribes	
forging a double-edged sword	锻造双刃剑		tribes	
forging a felling ax	锻造伐木斧		tribes	
forging a golden helmet	锻造黄金头盔		tribes	
forging a heavy double trident	锻造重型双三叉戟		tribes	
forging a heavy spear	锻造铁脊长矛		tribes	
forging a helmet	锻造头盔		tribes	
forging a light trident	锻造轻型三叉戟		tribes	
forging a long sword	锻造长剑		tribes	
forging a long trident	锻造长三叉戟		tribes	
forging a mask	锻造面具		tribes	
forging a pick	锻造鹤嘴镐		tribes	
forging a sharp ax	锻造锋利的斧头		tribes	
forging a short sword	锻造短剑		tribes	
forging a spear	锻造长矛		tribes	
forging a steel shield	锻造钢盾		tribes	
forging a steel trident	锻造钢三叉戟		tribes	
forging a suit of armor	锻造一套盔甲		tribes	
forging a suit of chain armor	锻造一套链式盔甲		tribes	
forging a suit of gilded armor	锻造一套镀金盔甲		tribes	
forging a war spear	锻造战矛		tribes	
forging a warhelm	锻造战盔		tribes	
forging a warrior’s ax	锻造勇士之斧		tribes	
forging a wooden spear	打造木矛		tribes	
forging an advanced shield	锻造高级护盾		tribes	
forging an advanced spear	锻造高级长矛		tribes	
forging an ax	锻造斧头		tribes	
Fortification	防御工事	amazons_building	corrections	与 Fortress→要塞 撞名，且它是驻军 12 的更高一级建筑
Fortified Village	设防村落		corrections	原译"要塞与村庄"误将一个整体拆为两样
Fortress	要塞	amazons_building	corrections	big/驻军8，原译"哨所"与 Sentry 语义重叠
Fortress	要塞	barbarians_building	corrections	big/驻军8，原译"哨所"与 Sentry 语义重叠
Fortress	要塞	empire_building	corrections	big/驻军8，原译"哨所"与 Sentry 语义重叠
Fortress	要塞	frisians_building	corrections	big/驻军12，原译"哨所"与 Sentry 语义重叠
Fox	狐狸		world	
Frisians	弗里西亚部族		tribes	
Fruit	水果	ware	tribes	
Fruit Collector	摘果人	frisians_worker	tribes	
Fruit Collector’s House	摘果人之屋	frisians_building	tribes	
Fulla	芙拉	shipname	tribes	
Fur	毛皮	ware	tribes	
Fur Garment	皮装	ware	tribes	
Furnace	熔炉	amazons_building	tribes	
Furnace	熔炉	frisians_building	tribes	
Föhr	弗尔	shipname	tribes	
Galba	加尔巴号	shipname	tribes	
Gallus	加卢斯	shipname	tribes	
Gamekeeper	猎场看守	barbarians_worker	tribes	
Gamekeeper’s Hut	猎场看守小屋	barbarians_building	tribes	
Gardener	园丁	barbarians_worker	tribes	
Gardening Center	园艺中心	amazons_building	tribes	
gathering	采集		tribes	
gathering berries	采摘浆果		tribes	
gathering fish	捕鱼		tribes	
gathering meat	采集肉食		tribes	
Geologist	地质专家	amazons_worker	tribes	
Geologist	地质专家	atlanteans_worker	tribes	
Geologist	地质专家	barbarians_worker	tribes	
Geologist	地质专家	empire_worker	tribes	
Geologist	地质专家	frisians_worker	tribes	
Gersemi	格尔塞蜜	shipname	tribes	
Gilded Armor	镀金盔甲	ware	tribes	
Gladiator	角斗士号	shipname	tribes	
Gloria Imperii	帝国荣光号	shipname	tribes	
Gold	黄金		world	
Gold	黄金	ware	tribes	
Gold Digger	掘金者	amazons_worker	tribes	
Gold Digger Dwelling	掘金窝棚	amazons_building	tribes	
Gold Dust	金粉	ware	tribes	
Gold Mine	金矿	atlanteans_building	tribes	
Gold Mine	金矿	barbarians_building	tribes	
Gold Mine	金矿	empire_building	tribes	
Gold Mine	金矿	frisians_building	tribes	
Gold Ore	金质矿石	ware	tribes	
Gold Smelter	黄金冶炼厂	amazons_worker	tribes	
Gold Spinning Mill	纺金坊	atlanteans_building	tribes	
Gold Thread	金线	ware	tribes	
Golden Fur Garment	金缕皮铠	ware	tribes	
Golden Helmet	黄金头盔	frisians_ware	tribes	
Golden Tabard	黄金战袍	ware	tribes	
Granite	花岗石	ware	tribes	
Granite Mine	花岗石矿	barbarians_building	tribes	
Grape	葡萄	ware	tribes	
Grapevine (medium)	葡萄藤(半熟的)	immovable	tribes	
Grapevine (ripe)	葡萄藤(成熟的)	immovable	tribes	
Grapevine (small)	葡萄藤(小的)	immovable	tribes	
Grapevine (tiny)	葡萄藤(微小的)	immovable	tribes	
Grass	青草		world	
Green Mushroom Tree	草海绿蘑菇树		world	
Green Mushroom Tree (Mature)	草海绿蘑菇树(成材的)		world	
Green Mushroom Tree (Old)	草海绿蘑菇树(老树)		world	
Green Mushroom Tree (Pole)	草海绿蘑菇树(树干)		world	
Green Mushroom Tree (Sapling)	草海绿蘑菇树(树苗)		world	
Green Umbrella Tree	威宁绿木兰		world	
Green Umbrella Tree (Mature)	威宁绿木兰(成材的)		world	
Green Umbrella Tree (Old)	威宁绿木兰(老树)		world	
Green Umbrella Tree (Pole)	威宁绿木兰(树干)		world	
Green Umbrella Tree (Sapling)	威宁绿木兰(树苗)		world	
Gregório	格雷戈里奥号	shipname	tribes	
Grenada	格林纳达	shipname	tribes	
grinding blackroot	碾磨黑根		tribes	
grinding corn	碾磨玉米		tribes	
grinding wheat	碾磨小麦		tribes	
Grout	泥浆	ware	tribes	
Gröde	格勒德	shipname	tribes	
Guadeloupe	瓜德罗普岛	shipname	tribes	
